,Subject,CardSort_Unadj,Flanker_Unadj,IWRD_TOT,ProcSpeed_Unadj,ListSort_Unadj,PicVocab_Unadj,ReadEng_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,AngAffect_Unadj,AngHostil_Unadj,FearAffect_Unadj,PercStress_Unadj,Sadness_Unadj
41,112112,103.46,109.37,36,113.4,104.06,123.1805,120.0745,62.8,60.0,62.4,28.6,51.7,46.0,45.0,34.2
42,112314,112.42,115.73,33,110.12,108.06,121.6903,113.6531,50.9,55.6,52.7,49.8,63.0,58.0,54.4,49.9
43,112516,100.45,116.96,39,111.11,100.43,118.6195,103.4653,71.9,65.5,50.2,52.2,45.1,56.0,43.6,43.4
44,112920,111.59,104.78,37,104.06,130.38,123.8164,116.5932,65.6,59.5,55.1,47.5,54.2,41.5,40.9,51.3
45,113215,121.37,142.11,38,128.55,130.38,120.31,128.18,52.0,43.5,44.1,63.9,59.4,58.3,64.7,53.5
46,113316,104.6,92.15,29,112.27,117.39,104.8695,128.293,44.4,58.0,45.6,40.1,55.2,45.7,54.5,49.9
47,113619,109.35,105.31,37,111.93,112.89,128.7,121.12,67.8,61.1,46.0,52.1,36.6,54.2,53.1,48.2
48,113922,122.39,109.58,38,118.78,133.93,111.37,106.78,47.9,46.1,54.1,50.9,56.6,46.0,49.3,45.8
49,114217,119.5,111.98,32,124.27,112.89,116.0618,140.1555,66.9,63.7,50.2,35.6,36.6,32.9,45.3,34.2
50,114318,117.98,110.53,26,135.98,112.89,109.7207,123.4728,50.5,52.2,44.4,53.4,45.8,60.5,57.9,48.2
51,114621,110.9,117.4,40,111.11,104.06,113.4061,119.2225,60.3,49.1,50.2,46.5,50.0,41.5,48.1,43.6
52,114823,112.93,111.75,38,135.98,126.18,123.072,141.0733,44.4,43.9,45.9,47.1,45.0,50.2,44.8,45.7
53,115320,112.78,101.82,36,115.64,100.43,107.8,106.23,62.5,55.9,50.2,48.7,53.0,46.0,37.8,43.6
54,115724,128.04,123.46,33,144.47,93.9,101.4302,102.2321,51.1,40.8,50.2,50.0,63.1,61.5,50.7,39.8
55,115825,95.79,112.21,38,89.64,104.06,92.84103,96.06393,45.5,42.4,57.2,45.0,51.4,46.0,56.1,51.2
56,116726,129.19,117.4,34,119.98,126.18,113.7863,131.9735,67.8,62.6,55.7,41.5,40.5,48.7,37.3,43.6
57,117021,119.18,103.76,39,122.72,126.18,130.0459,122.475,59.7,48.1,44.4,51.3,52.9,52.9,44.7,45.6
58,117324,99.85,105.22,38,105.27,96.99,105.88,106.46,57.7,71.6,71.6,28.6,36.6,52.9,22.4,34.2
59,117930,101.68,94.38,37,104.06,108.06,124.5602,124.5595,62.8,50.0,50.2,43.8,50.7,41.5,47.4,38.5
60,118023,108.67,118.66,39,122.72,100.43,114.31,107.4202,62.9,48.1,52.7,48.1,44.9,46.7,46.0,39.0
61,118124,123.11,108.46,36,99.14,91.07,107.6174,103.085,42.6,51.9,50.6,28.6,48.8,43.3,40.3,34.2
62,118225,112.58,115.38,37,99.14,130.38,124.5263,124.4669,57.7,42.9,48.4,39.7,49.8,43.3,40.2,34.2
63,118528,133.28,114.23,36,116.04,104.06,118.67,108.8,70.0,65.6,52.7,61.5,52.5,55.5,62.3,50.8
64,118730,112.99,110.38,37,108.71,112.89,113.72,106.67,57.1,44.0,52.7,54.3,54.8,51.2,49.2,46.1
65,118831,129.85,118.28,39,119.98,112.89,135.6653,128.9936,40.6,51.9,35.0,52.3,63.0,73.4,75.0,69.5
66,118932,115.43,113.07,36,122.66,104.06,110.63,122.32,47.7,44.5,47.2,45.1,57.3,51.9,54.0,46.1
67,119025,113.06,95.64,37,106.57,144.5,130.3676,126.8451,54.4,60.8,43.8,45.6,36.6,36.5,32.2,34.2
68,119126,104.3,109.84,34,133.26,112.89,105.9275,109.9567,52.0,51.9,44.4,54.3,58.9,61.6,57.7,53.3
69,119732,100.13,93.13,38,91.62,100.43,121.8928,120.0374,62.5,53.6,48.4,53.0,46.5,58.3,53.6,48.1
70,119833,107.0,131.82,31,110.79,108.06,111.45,103.48,52.6,42.4,50.2,57.1,60.1,37.6,59.8,34.2
71,120111,111.96,112.13,35,116.23,88.68,119.1,121.2,54.4,47.8,50.2,31.6,48.9,41.8,47.7,43.3
72,120212,114.39,108.82,39,115.39,121.89,126.2,123.53,48.8,50.0,50.2,51.8,49.1,59.8,52.0,48.2
73,120414,98.53,96.05,31,85.34,100.43,113.784,111.3651,51.1,46.1,46.5,47.5,53.4,49.0,43.9,44.7
74,120515,118.0,93.8,38,100.04,108.06,106.11,111.0,59.7,57.6,50.2,47.5,40.5,51.2,42.4,48.1
75,120717,125.11,116.57,37,124.27,117.39,123.2786,127.0684,44.8,49.1,52.7,47.5,46.0,53.7,51.9,51.2
76,121416,104.06,94.4,35,84.34,112.89,119.6009,116.231,41.3,48.7,42.0,40.6,36.6,49.3,35.8,45.8
77,121618,108.85,112.89,35,112.98,104.06,132.95,116.29,38.3,40.8,43.8,56.9,56.9,57.6,49.3,51.7
78,122317,103.09,105.76,37,97.38,117.39,110.94,104.18,62.8,46.5,50.2,50.9,53.5,51.4,46.5,45.0
79,122620,110.18,114.15,32,110.6,108.06,110.36,123.74,55.0,50.0,58.8,39.6,36.6,40.0,52.9,34.2
80,122822,106.33,107.59,38,118.67,104.06,115.7786,115.1137,71.4,62.7,57.1,50.3,53.0,54.4,45.3,53.3
81,123521,85.37,118.28,31,133.26,104.06,115.3583,126.7233,55.0,51.7,42.0,61.1,43.4,65.7,58.2,52.5
82,123925,138.91,126.15,39,130.11,112.89,103.19,124.01,48.8,45.2,50.2,39.7,54.5,49.9,46.5,44.8
83,124422,110.66,109.58,38,115.67,93.9,108.33,91.33,48.3,44.3,42.0,63.4,56.9,63.3,58.7,62.2
84,124826,115.6,121.91,32,124.27,104.06,128.207,120.9202,64.5,60.6,50.2,47.5,36.6,51.2,45.7,55.0
85,125222,104.48,97.65,38,106.57,133.93,124.9112,130.1292,50.3,59.7,42.0,55.7,61.3,55.7,51.6,62.2
86,125424,95.05,95.21,36,110.12,112.89,117.5039,119.8836,67.8,57.8,46.2,57.0,50.3,47.2,49.8,43.8
87,126325,125.65,125.34,36,109.66,112.89,114.74,124.87,57.1,50.0,52.7,28.6,45.0,36.5,41.4,34.2
88,126426,108.05,103.78,35,145.54,108.06,104.2913,103.9257,57.1,55.9,46.5,55.6,59.4,51.2,57.7,44.7
89,127226,105.68,102.73,35,82.08,100.43,108.9755,114.501,53.2,47.8,44.4,53.4,63.0,53.7,55.4,46.1
90,127630,117.39,124.4,37,154.69,137.98,112.7767,126.6443,55.0,50.0,50.2,50.6,49.6,58.3,50.3,45.6
91,127832,118.32,104.59,34,115.83,100.43,130.0463,108.5761,74.6,71.6,58.5,42.4,36.6,46.3,32.6,44.9
92,127933,119.06,108.52,32,118.93,117.39,117.45,132.65,55.0,40.9,48.4,59.0,36.6,54.4,51.9,48.2
93,128127,114.71,117.4,38,123.61,108.06,117.69,122.31,57.1,53.6,48.4,50.8,51.5,46.7,46.5,46.1
94,128632,107.36,107.28,32,108.79,112.89,114.35,107.25,48.0,46.8,48.4,38.7,48.0,42.7,46.8,34.2
95,128935,123.05,115.38,37,106.57,112.89,131.0498,141.8487,57.1,59.8,52.1,45.6,51.5,49.3,47.6,45.6
96,129028,103.92,102.41,34,107.23,117.39,122.85,122.54,64.5,50.3,46.5,46.8,47.2,42.5,39.2,41.8
97,129129,114.69,114.06,35,118.67,96.99,112.3482,126.2477,38.3,44.7,40.3,59.0,59.6,59.8,57.5,53.3
98,129634,99.11,99.94,37,102.91,108.06,110.5733,106.3234,64.5,54.7,58.7,46.8,45.8,46.0,40.4,34.2
99,130013,108.83,111.15,37,121.47,112.89,118.53,118.88,55.6,55.9,57.1,47.5,53.5,50.7,41.4,38.5
100,130114,131.62,125.19,38,135.98,108.06,127.8275,129.4267,70.6,64.3,65.1,36.6,36.6,46.0,28.9,34.2
101,130417,114.75,122.53,38,97.15,108.06,125.0839,130.3602,55.0,47.9,54.1,44.8,53.8,51.2,45.3,48.1
102,130619,119.16,112.21,35,150.84,126.18,130.8938,134.3721,54.4,45.8,48.1,48.4,50.5,55.5,45.3,48.2
103,130720,109.62,101.16,37,111.11,112.89,117.4743,120.454,50.5,43.4,42.9,49.1,60.2,43.3,39.5,44.7
