,surfarea_Network_1,surfarea_Network_2,surfarea_Network_3,surfarea_Network_4,surfarea_Network_5,surfarea_Network_6,surfarea_Network_7,surfarea_Network_8,surfarea_Network_9,surfarea_Network_10,surfarea_Network_11,surfarea_Network_12,surfarea_Network_13,surfarea_Network_14,surfarea_Network_15,surfarea_Network_16,surfarea_Network_17,Subject
0,7454.1455078125,15038.11865234375,9964.2138671875,4624.347900390625,14315.9990234375,11714.646484375,16317.7578125,12702.259765625,6099.104736328125,43872.845703125,2879.4603271484375,10185.96826171875,10930.2197265625,10331.626953125,10944.638671875,18175.9833984375,15994.14990234375,100206
1,4297.97607421875,16144.9384765625,9089.3896484375,4155.4818115234375,13200.32568359375,10293.45556640625,14869.6328125,12088.13916015625,7672.407470703125,37805.982421875,2356.770263671875,10018.21875,10719.96240234375,9731.76220703125,6861.53857421875,15778.30029296875,14909.85107421875,100307
2,5352.95947265625,14365.71875,9485.23486328125,3846.2408447265625,14306.634765625,9194.71923828125,14208.65087890625,11847.353515625,5634.525146484375,47599.849609375,2309.4862060546875,10824.53515625,11534.357421875,7700.77392578125,9320.873046875,17943.529296875,17096.08740234375,100408
3,5741.986572265625,21245.6826171875,8518.65673828125,5084.145751953125,11647.72998046875,11038.93798828125,16186.87548828125,10007.88671875,6724.318115234375,38877.205078125,2739.729248046875,13792.2646484375,13243.82275390625,8542.38720703125,6742.7666015625,14721.88330078125,17030.21044921875,100610
4,6308.962646484375,15432.68408203125,10352.42578125,4734.1806640625,11237.12255859375,10562.4580078125,13295.5400390625,12939.2978515625,6459.865966796875,35052.4140625,2374.88134765625,11238.80517578125,8184.9833984375,7290.169677734375,8322.524658203125,11873.337890625,15845.458984375,101006
5,4798.26806640625,14951.3701171875,10983.484375,4472.984619140625,14270.2255859375,11502.107421875,13693.53759765625,12094.72216796875,7623.98681640625,48221.12890625,1982.076904296875,10940.974609375,10625.57080078125,11167.6181640625,11700.080078125,12548.8642578125,17530.05908203125,101309
6,5468.368896484375,19077.3681640625,11133.98681640625,4706.1787109375,11166.47998046875,10707.64306640625,16046.228515625,12701.599609375,6268.12646484375,40987.92578125,2022.2547607421875,12300.98681640625,8339.005126953125,9842.7255859375,8144.88330078125,16165.39501953125,14593.38818359375,101915
7,5680.7314453125,20046.6162109375,9921.490234375,4806.272216796875,14592.90478515625,10332.0166015625,13118.31298828125,15047.21337890625,7704.01513671875,47307.1953125,2803.93310546875,9799.55078125,9775.52734375,11184.21044921875,8536.057861328125,18221.9658203125,14608.01171875,102109
8,4751.076416015625,16302.3662109375,10785.02685546875,4109.6864013671875,13423.705078125,10452.6044921875,13727.51171875,14730.11376953125,6584.014892578125,48528.58203125,2111.6004638671875,11275.0810546875,10952.708984375,10777.46484375,8404.5576171875,16662.1123046875,14934.52734375,102513
9,5298.74072265625,21433.4541015625,9165.455078125,4287.375732421875,9629.61376953125,12257.00048828125,13778.572265625,10382.0322265625,5726.337158203125,38098.27734375,2941.304443359375,9328.952880859375,12606.01806640625,11910.66455078125,11337.51953125,14844.61474609375,19264.3193359375,102614
10,4491.907958984375,19880.802734375,8742.717529296875,4810.630859375,13023.76416015625,12645.1650390625,12714.00537109375,11651.4345703125,7439.866455078125,39475.57421875,2646.096923828125,14337.853515625,14022.70458984375,8750.890625,9681.1025390625,16249.98291015625,17939.9228515625,102715
11,4696.13427734375,21682.2587890625,10486.44921875,4660.9033203125,12371.5966796875,11626.689453125,14772.80859375,11300.43994140625,6391.22607421875,44652.41796875,2298.958251953125,11345.89599609375,10219.81005859375,11943.0361328125,7451.95166015625,16143.6494140625,16272.033203125,103111
12,4821.256591796875,17111.9365234375,8417.62451171875,4466.266845703125,14688.90869140625,9921.35693359375,13888.92822265625,10824.50439453125,6009.81103515625,41329.80078125,2724.157958984375,11529.767578125,11677.22705078125,10305.36474609375,7268.23974609375,14444.34130859375,14517.478515625,103414
13,6573.71044921875,14265.78466796875,8541.9658203125,3998.293212890625,15823.6337890625,8645.46484375,13640.93896484375,12413.4990234375,5253.603515625,40359.6484375,2219.9186401367188,8609.70703125,9486.65966796875,9956.09375,9285.4609375,14522.2060546875,13300.1640625,103818
